ID,Keyword,Reason,Snippet
392,โฮ่งเฮ้ง,Not found in Interp,ฝันเห็นเครื่องไฟฟ้าหรือไฟฟ้า หรือเห็นบุคคลถูกไฟฟ้าช็อต หมายว
400,พวงกุหลาบ,Not found in Interp,ฝันว่าได้ดอกไม้พวงหนึ่งหรือได้หิมสีแดง เป็นมงคล หมายว่า ผู้ม
405,กู่ราม,Not found in Interp,ฝันเห็นกันเภรูราม ได้รับต้องอนุลจ่า พายะว่า จะได้ รูปความสุข
411,ฟูกนอน,Not found in Interp,หญิงชายใดฝันว่า ได้นอนฟูกใหม่ หมายว่า จะได้พบคนดี หรือจะมีโช
421,ภาวนะ,Not found in Interp,ฝันว่าได้รับต้องการนะที่ป็นแก้ว ทายว่าจะได้ลาภลง ๆ น้อย ๆ หร
428,มรกต,Not found in Interp,(ดูคำว่า 'เพชรพลอย' อีกครั้ง พ.)
430,มาลี,Not found in Interp,(ดูคำว่า 'มาลัย')
432,มู่ลี่,Not found in Interp,(ดูคำว่า 'ม่าน' อีกครั้ง ม.)
433,มังดา,Not found in Interp,(ดูคำว่า 'ปลา' อีกครั้ง ป.)
452,อ้อมแอ้ม,Not found in Interp,ฝันว่าข้องแข้งตัวเอง ทายว่า วิถีการหาเลี้ยง ทำที่ข้องๆ ระบบป
456,ยางรถ,Not found in Interp,ฝันเห็นยางล้อรถยนต์กลิ้งอยู่หรือกีดขวางทาง จะได้รับข่าวจากทา
470,จิตใส,Not found in Interp,หญิงชายใดฝันว่า จิตใจตนเองใส ทายว่า จะหมดโศกเศร้า มีความสุขแ
472,รถสพ,Not found in Interp,หญิงชายใดฝันเห็นรถบรรจุศพ หรือ แห่ศพผ่านหน้า ทายว่า จะได้รับ
483,รูปภาพ,Not found in Interp,(ดูคำว่า 'ภาพ' อีกษร ก.)
484,ร่องน้ำ,Not found in Interp,(ดูคำว่า 'ห้วยราง' อีกด้วย)
486,ราชินี,Not found in Interp,(ดูคำว่า 'ราชวงศ์' อีกด้วย)
495,รุมราม,Not found in Interp,ฝันว่าเริ่มรักษ์คนใดคนหนึ่ง ทำนายว่า คนๆ นั้นกำลังคิดหรือกุล
497,ลิงพาย,Not found in Interp,ผู้ใดฝันว่า ตนและลิงตบตีกัน หรือแน่นอนกำปั่นกัน ทำนายว่า จะไ
500,ลอยกล,Not found in Interp,ผู้ใดฝันว่า ตนเองลุกปลิวยุ่งน่าน ย่อมตัวนี้น้ายให้กระแสน้ำท่
501,ล้อยกระทง,Not found in Interp,ฝันว่าได้ไปลอยกระทง พร้อมกันกระทง ล้อยกอล มีภูปเทียนประดับ ท
502,ล้องแผ่,Not found in Interp,หญิงชายใดฝันว่า ได้ลิงแผ่พร้อมลองแนวน ประแสน้ำเรื่อย ๆ ทายว่
512,เดินป่าไผ่,Not found in Interp,หญิงชายได้ฝันว่า เดินเดินไปในป่าไผ่ ผ่านพ้นไปได้ หายป่วย จะม
514,ลักโมย,Not found in Interp,หญิงชายได้ฝันว่า คนเอาของลักเลาะหิ้ง เศรษฐี หรือฝันว่าถูกโจร
515,ลูยโคลน,Not found in Interp,(ดูคำว่า 'โคลน' อีกษา ค.)
522,หัวล้าน,Not found in Interp,ฝันว่าศีรษะคนเป็นล้าน หายป่วย จะหายจากการฝันร้าย หากเป็นตำรั
534,เรือง,Not found in Interp,หญิงชายใดฝันว่า ตกลงมหาสมุทรแล้วแกว่งได้ ทำนายว่า จะได้รับเค
535,วัด,Not found in Interp,(ดูคำว่า ใบเสด็ก อักษร น) วงกด ฝันว่าได้เดินขึ้นไปบนเขาวงกด 
536,วัวควาย,Not found in Interp,ฝันว่าทะเลาะวิวาท กับคนแปลกหน้า ทำนายว่า จะได้รับข่าวทางไกลจ
538,ว่าว,Not found in Interp,ฝันว่าคนเอาดาบมาให้ หรือผมได้ดาบ ทำนายว่า จะหมดเดือดร้อน และ
540,เรียนหนังสือ,Not found in Interp,ฝันว่าได้ไปเรียนเขียนหนังสือหรือ หายปวดเศีรษะจากโรคปวดหัวเป็
545,ศาลพระภูมิ,Content Issues,
555,สวดมนต์,Not found in Interp,หญิงชายใดฝันว่า ได้นั่งสวดอ่านคาถา หรือกำลังคุมภาวนา หมายว่า
571,สำปา,Not found in Interp,ดูคำว่า 'เรือ' อีกครั้ง
572,แส้,Not found in Interp,ดูคำว่า 'แซ่' อีกครั้ง
573,แม่ลิง,Not found in Interp,ฝันเห็นแสดงเป็นลางราย หรือจะจน หรือยา จะได้รับการเปลี่ยนแปลง
577,สายสะพาย,Not found in Interp,(ความหมายอย่างเดียวกับ สายพราน)
578,ส่องกระจก,Not found in Interp,ดูคำว่า กระจก อีกครั้ง
579,กระรอก,Not found in Interp,ฝันว่าจับลูกของแมลงวันอกใส่จากที่ใดแห่งหนึ่ง นับเป็นความดีใส
584,สระ,Not found in Interp,ฝันว่าเข้าไปเล่นน้ำลอยอยู่ในน้ำ หรือให้นางกิ่งลดน้ำ ลอยน้ำ ท
612,เหรียญเงิน,Not found in Interp,(ดูคำว่า 'สตางค์' อีกนง ด.) หมผ้า ฝันว่าตนเองได้หานสกุลเงินไ
616,หนูสีน,Not found in Interp,ฝันว่าเป็นหนูหึงลูกกล้วยหนึ่งท่วงเงิน พากษา จะได้มีพายุหรือเ
619,เหรียญ,Not found in Interp,(ดูคำว่า 'เงินทอง' อักษร ง)
623,หิ่งห้อย,Not found in Interp,ฝันเห็นฟิงท้อยตัวเดียว ทายว่า การติดใจ จะลมหาง โชคลาภก็ลั่งจ
631,อาวุธ,Content Issues,
636,อุจจาระ,Content Issues,
643,กิ้งก่า,Not found in Interp,เป็นความฝันดี ผู้ฝันจะได้ลาภผลอย่างรวดเร็ว
645,กษัตริย์,Not found in Interp,ฝันเห็น องค์เจ้าแผ่นดินหรือพระราชินี ท่านจะได้เลื่อนตำปแหน่ง
